STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2016,,10420.1,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2017,,10762.2,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2018,,11157.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2019,,11387.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2020,,11010.1,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2021,,11997.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2022,,12576.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2023,,13081.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2024,,13611.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,AT,Austria,2016,,316647.9,,,,,
